fila	de la	cabecera
registro	número	1
registro	número	2
registro	número	3
registro	número	4
registro	número	5
registro	número	6
registro	número	7
registro	número	8
registro	número	9
registro	número	1a
registro	número	2a
registro	número	3a
registro	número	4a
registro	número	5a
registro	número	6a
registro	número	7a
registro	número	8a
registro	número	9a
registro	número	1b
registro	número	2b
registro	número	3b
registro	número	4b
registro	número	5b
registro	número	6b
registro	número	7b
registro	número	8b
registro	número	9b
registro	número	1c
registro	número	2c
registro	número	3c
registro	número	4c
registro	número	5c
registro	número	6c
registro	número	7c
registro	número	8c
registro	número	9c